                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9915,                 3.9417,                 3.9556,                0.00308,                0.14187,                0.00399,                0.00099,                 2.7899,                    inf,                 4.0746,             0.00032593,             0.00032593,             0.00032593
                      2,                 2.0881,                 2.5467,                 2.7856,                0.02505,                0.02667,                0.01422,                0.00614,                 2.6953,                    inf,                 3.9628,             0.00065273,             0.00065273,             0.00065273
                      3,                  1.693,                 2.2045,                 2.2241,                0.35462,                0.03197,                0.00397,                0.00174,                 2.6577,                    inf,                 6.6377,             0.00097294,             0.00097294,             0.00097294
                      4,                 1.4521,                 1.9314,                 1.9415,                0.16447,                0.29962,                0.18005,                0.10294,                  1.626,                 3.1469,                 2.3124,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2568,                  1.711,                 1.7518,                0.13702,                0.41356,                0.17215,                0.10797,                 1.2849,                  3.678,                 1.8864,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.1417,                 1.5785,                 1.6429,                0.13822,                0.32054,                 0.1183,                0.06935,                 1.5911,                    inf,                 2.3017,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.0669,                 1.4663,                 1.5714,                0.38257,                0.51541,                0.39489,                 0.2732,                 1.2457,                 2.5055,                 1.8992,              0.0009406,              0.0009406,              0.0009406
                      8,                  1.025,                 1.3624,                 1.5235,                0.50443,                0.64161,                0.57569,                0.42075,                0.90747,                 1.4918,                 1.5204,              0.0009307,              0.0009307,              0.0009307
                      9,                0.98141,                  1.289,                 1.4858,                0.46811,                0.63715,                0.53427,                0.41913,                0.83191,                 1.5883,                 1.4621,              0.0009208,              0.0009208,              0.0009208
                     10,                0.93355,                 1.2234,                 1.4436,                 0.5161,                0.63743,                0.56116,                0.42361,                0.90246,                 1.4871,                 1.5003,              0.0009109,              0.0009109,              0.0009109
                     11,                0.91454,                 1.1493,                 1.4218,                0.62376,                0.63841,                  0.644,                0.48893,                0.85684,                 1.2357,                 1.4667,               0.000901,               0.000901,               0.000901
                     12,                0.88722,                 1.0978,                 1.3976,                0.50159,                0.60994,                0.54428,                0.41728,                0.87197,                 1.6576,                 1.4503,              0.0008911,              0.0008911,              0.0008911
                     13,                0.85778,                 1.0395,                 1.3677,                0.33818,                0.44569,                 0.3886,                0.30593,                0.79771,                 2.5869,                 1.4384,              0.0008812,              0.0008812,              0.0008812
                     14,                0.83776,                 1.0149,                 1.3548,                0.64351,                0.71017,                0.74256,                0.59164,                0.72342,                 1.0487,                  1.343,              0.0008713,              0.0008713,              0.0008713
                     15,                0.82246,                0.96856,                 1.3428,                0.60315,                0.69751,                0.65497,                0.52407,                0.71785,                 1.2472,                  1.341,              0.0008614,              0.0008614,              0.0008614
                     16,                0.79142,                  0.922,                 1.3197,                0.63837,                  0.732,                0.74379,                0.60332,                0.67135,                 1.1442,                  1.302,              0.0008515,              0.0008515,              0.0008515
                     17,                0.79503,                 0.8954,                 1.3148,                0.64132,                0.70537,                0.72486,                0.58141,                0.68009,                 1.0775,                 1.3054,              0.0008416,              0.0008416,              0.0008416
                     18,                0.78557,                0.88496,                 1.3083,                0.72288,                0.75417,                0.78214,                0.60471,                0.77273,                 1.0039,                 1.3916,              0.0008317,              0.0008317,              0.0008317
                     19,                0.75973,                0.85598,                  1.288,                0.69647,                 0.7507,                0.76479,                 0.6291,                0.68202,                0.97606,                 1.3019,              0.0008218,              0.0008218,              0.0008218
                     20,                0.74742,                0.82481,                 1.2753,                0.64442,                0.76176,                0.77165,                0.64469,                0.61942,                 1.0912,                  1.256,              0.0008119,              0.0008119,              0.0008119
                     21,                0.74047,                0.81846,                   1.27,                0.78382,                0.80986,                0.87597,                0.73231,                0.59785,                0.75311,                   1.23,               0.000802,               0.000802,               0.000802
                     22,                0.73752,                0.78424,                 1.2651,                0.74747,                0.75047,                 0.7766,                0.65247,                0.60834,                  1.058,                 1.2337,              0.0007921,              0.0007921,              0.0007921
