                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87051,                 1.6112,                 1.2225,                0.64191,                0.62172,                0.65746,                0.50924,                0.73752,                  1.482,                  1.203,              0.0003287,              0.0003287,              0.0003287
                      2,                0.69456,                0.85454,                  1.097,                0.63272,                 0.5132,                 0.5909,                0.41518,                 1.1086,                 1.6902,                 1.5848,             0.00065548,             0.00065548,             0.00065548
                      3,                0.71324,                0.79816,                 1.1093,                0.74775,                0.74547,                0.78168,                0.63627,                0.69477,                 1.0041,                 1.2067,             0.00097566,             0.00097566,             0.00097566
                      4,                0.66086,                0.68402,                 1.0729,                0.79167,                0.79735,                0.87003,                0.70878,                0.66464,                 0.7086,                 1.1716,              0.0009703,              0.0009703,              0.0009703
                      5,                0.63679,                0.64819,                  1.061,                0.82957,                0.85332,                0.91278,                0.77491,                0.59459,                0.58122,                 1.0952,              0.0009604,              0.0009604,              0.0009604
                      6,                0.61638,                0.61348,                 1.0499,                0.83621,                0.87707,                0.92724,                0.79175,                 0.5728,                0.54439,                 1.0996,              0.0009505,              0.0009505,              0.0009505
                      7,                0.59749,                 0.5855,                 1.0416,                0.86339,                 0.8099,                0.88953,                0.76634,                0.55507,                0.63035,                 1.0718,              0.0009406,              0.0009406,              0.0009406
                      8,                0.58668,                0.55983,                 1.0346,                0.86294,                0.88754,                0.93677,                0.82493,                0.52345,                0.50071,                 1.0504,              0.0009307,              0.0009307,              0.0009307
                      9,                0.58266,                0.56012,                 1.0279,                0.85436,                0.89247,                0.93536,                0.81423,                0.52627,                0.49084,                 1.0561,              0.0009208,              0.0009208,              0.0009208
                     10,                0.57071,                0.53686,                 1.0195,                0.87015,                0.90711,                0.94758,                0.82432,                0.54591,                0.46132,                 1.0615,              0.0009109,              0.0009109,              0.0009109
