                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.4198,                0.34762,                0.94573,                0.93065,                0.93157,                0.96619,                0.90182,                0.37336,                0.33295,                 1.0025,              0.0006535,              0.0006535,              0.0006535
                     37,                0.42083,                0.34817,                0.94473,                0.90647,                 0.9374,                0.96358,                0.89759,                0.36853,                0.35189,                0.99057,              0.0006436,              0.0006436,              0.0006436
                     38,                0.41873,                0.34506,                0.94708,                0.93146,                0.93083,                0.96711,                0.90329,                0.36467,                0.32657,                0.98367,              0.0006337,              0.0006337,              0.0006337
                     39,                0.41637,                 0.3422,                0.93929,                0.90794,                0.93232,                0.96051,                0.89983,                0.37159,                0.35124,                0.99873,              0.0006238,              0.0006238,              0.0006238
                     40,                0.41086,                0.33521,                0.94297,                0.94085,                0.92725,                0.96456,                0.90663,                0.35792,                0.32473,                0.98658,              0.0006139,              0.0006139,              0.0006139
                     41,                0.40711,                0.33511,                0.93654,                0.91638,                 0.9458,                0.96172,                0.90032,                0.36283,                 0.3258,                0.98573,               0.000604,               0.000604,               0.000604
                     42,                0.40562,                0.33671,                0.93474,                0.93145,                  0.924,                0.95936,                0.89863,                0.35663,                0.32284,                0.99628,              0.0005941,              0.0005941,              0.0005941
                     43,                0.39958,                  0.325,                 0.9342,                0.91281,                  0.934,                0.96603,                 0.9076,                0.34795,                0.33345,                0.98202,              0.0005842,              0.0005842,              0.0005842
                     44,                0.39474,                0.32102,                0.92945,                0.92062,                0.93693,                 0.9633,                0.90636,                0.34477,                0.32607,                0.98378,              0.0005743,              0.0005743,              0.0005743
                     45,                0.39343,                0.31612,                0.92558,                0.94158,                0.93747,                0.96745,                0.90976,                0.35092,                0.30845,                0.97275,              0.0005644,              0.0005644,              0.0005644
                     46,                0.39234,                0.31448,                0.92817,                0.91806,                0.94758,                0.96462,                 0.9078,                0.34805,                 0.3118,                0.97635,              0.0005545,              0.0005545,              0.0005545
                     47,                0.39181,                0.30797,                0.92383,                0.90272,                0.93709,                 0.9547,                 0.8995,                 0.3442,                0.35437,                0.97829,              0.0005446,              0.0005446,              0.0005446
                     48,                0.38843,                0.30946,                0.92447,                0.92592,                0.93634,                0.96355,                0.90699,                0.34613,                0.31665,                0.98165,              0.0005347,              0.0005347,              0.0005347
                     49,                0.38133,                0.30734,                0.92095,                0.92985,                0.92436,                0.95953,                0.90706,                0.33895,                0.33937,                0.97573,              0.0005248,              0.0005248,              0.0005248
                     50,                0.38223,                0.30691,                0.91619,                0.93078,                0.93765,                0.96509,                0.90827,                0.34436,                0.31683,                0.96452,              0.0005149,              0.0005149,              0.0005149
                     51,                0.37613,                0.30198,                0.91647,                0.92879,                0.93277,                0.96212,                 0.9099,                0.34203,                0.30858,                0.97664,               0.000505,               0.000505,               0.000505
                     52,                0.37498,                 0.2951,                0.91597,                0.93626,                0.93418,                0.95923,                0.90605,                0.33179,                0.32451,                0.97827,              0.0004951,              0.0004951,              0.0004951
                     53,                0.37796,                0.29929,                0.91848,                0.93013,                0.94103,                0.96062,                 0.9078,                0.33416,                0.31341,                0.97552,              0.0004852,              0.0004852,              0.0004852
                     54,                0.37489,                0.29254,                0.91516,                0.92122,                0.92936,                 0.9564,                0.90309,                0.33814,                0.35143,                0.98615,              0.0004753,              0.0004753,              0.0004753
                     55,                0.36981,                0.29737,                 0.9138,                0.91732,                0.95362,                0.96174,                0.91146,                0.33495,                0.31184,                0.97303,              0.0004654,              0.0004654,              0.0004654
                     56,                 0.3713,                0.29101,                0.91639,                0.92682,                0.94597,                0.96308,                0.91125,                0.34129,                0.30562,                0.99086,              0.0004555,              0.0004555,              0.0004555
